Tube,TechnicalReplicate,TimeLapse,Fraction,PlateletCount,PlateletCountPrct,TubeType,Donor,BiologicalReplicate,GraphTube
RNA Streck,TUBE1,T72,PFP,9,0.0215,Preservation,EC0028,DONOR6,CFRBCT
RNA Streck,TUBE2,T72,PFP,2,0.0104,Preservation,EC0026,DONOR4,CFRBCT
RNA Streck,TUBE3,T72,PFP,6,0.026,Preservation,EC0027,DONOR5,CFRBCT
Roche,TUBE1,T0,WB,442,1,Preservation,EC0028,DONOR6,CFDCT
Roche,TUBE2,T0,WB,183,1,Preservation,EC0026,DONOR4,CFDCT
Roche,TUBE3,T0,WB,235,1,Preservation,EC0027,DONOR5,CFDCT
Roche,TUBE1,T0,PRP,480,1.086,Preservation,EC0028,DONOR6,CFDCT
Roche,TUBE2,T0,PRP,179,0.9781,Preservation,EC0026,DONOR4,CFDCT
Roche,TUBE3,T0,PRP,320,1.3617,Preservation,EC0027,DONOR5,CFDCT
Roche,TUBE1,T0,PPP,196,0.4434,Preservation,EC0028,DONOR6,CFDCT
Roche,TUBE2,T0,PPP,41,0.224,Preservation,EC0026,DONOR4,CFDCT
Roche,TUBE3,T0,PPP,106,0.4511,Preservation,EC0027,DONOR5,CFDCT
Roche,TUBE1,T0,PFP,9,0.0204,Preservation,EC0028,DONOR6,CFDCT
Roche,TUBE2,T0,PFP,2,0.0109,Preservation,EC0026,DONOR4,CFDCT
Roche,TUBE3,T0,PFP,6,0.0255,Preservation,EC0027,DONOR5,CFDCT
Roche,TUBE1,T24,WB,434,1,Preservation,EC0028,DONOR6,CFDCT
Roche,TUBE2,T24,WB,182,1,Preservation,EC0026,DONOR4,CFDCT
Roche,TUBE3,T24,WB,242,1,Preservation,EC0027,DONOR5,CFDCT
Roche,TUBE1,T24,PRP,624,1.4378,Preservation,EC0028,DONOR6,CFDCT
Roche,TUBE2,T24,PRP,275,1.511,Preservation,EC0026,DONOR4,CFDCT
Roche,TUBE3,T24,PRP,331,1.3678,Preservation,EC0027,DONOR5,CFDCT
Roche,TUBE1,T24,PPP,370,0.8525,Preservation,EC0028,DONOR6,CFDCT
Roche,TUBE2,T24,PPP,129,0.7088,Preservation,EC0026,DONOR4,CFDCT
Roche,TUBE3,T24,PPP,164,0.6777,Preservation,EC0027,DONOR5,CFDCT
Roche,TUBE1,T24,PFP,47,0.1083,Preservation,EC0028,DONOR6,CFDCT
Roche,TUBE2,T24,PFP,19,0.1044,Preservation,EC0026,DONOR4,CFDCT
Roche,TUBE3,T24,PFP,18,0.0744,Preservation,EC0027,DONOR5,CFDCT
Roche,TUBE1,T72,WB,411,1,Preservation,EC0028,DONOR6,CFDCT
Roche,TUBE2,T72,WB,189,1,Preservation,EC0026,DONOR4,CFDCT
Roche,TUBE3,T72,WB,226,1,Preservation,EC0027,DONOR5,CFDCT
Roche,TUBE1,T72,PRP,652,1.5864,Preservation,EC0028,DONOR6,CFDCT
Roche,TUBE2,T72,PRP,255,1.3492,Preservation,EC0026,DONOR4,CFDCT
Roche,TUBE3,T72,PRP,423,1.8717,Preservation,EC0027,DONOR5,CFDCT
Roche,TUBE1,T72,PPP,249,0.6058,Preservation,EC0028,DONOR6,CFDCT
Roche,TUBE2,T72,PPP,111,0.5873,Preservation,EC0026,DONOR4,CFDCT
Roche,TUBE3,T72,PPP,146,0.646,Preservation,EC0027,DONOR5,CFDCT
Roche,TUBE1,T72,PFP,31,0.0754,Preservation,EC0028,DONOR6,CFDCT
Roche,TUBE2,T72,PFP,14,0.0741,Preservation,EC0026,DONOR4,CFDCT
Roche,TUBE3,T72,PFP,10,0.0442,Preservation,EC0027,DONOR5,CFDCT
