"","tube_kitID","Replicates","BiologicalReplicate","ALC_calc","ReplID","TimePoint"
"49","EDTA_MIR0.2","T0_04","D4-D4",0.193127995531058,"EDTA_MIR0.2-Rep0_04","1st timepoint"
"50","EDTA_MIR0.2","T0_04","D5-D5",0.169941585990034,"EDTA_MIR0.2-Rep0_04","1st timepoint"
"51","EDTA_MIR0.2","T0_16","D1-D1",0.12761313324535,"EDTA_MIR0.2-Rep0_16","2nd timepoint"
"52","EDTA_MIR0.2","T0_16","D2-D2",0.163908596380334,"EDTA_MIR0.2-Rep0_16","2nd timepoint"
"53","EDTA_MIR0.2","T0_16","D3-D3",0.115305103325454,"EDTA_MIR0.2-Rep0_16","2nd timepoint"
"54","EDTA_MIR0.2","T0_16","D4-D4",0.201842890598316,"EDTA_MIR0.2-Rep0_16","2nd timepoint"
"55","EDTA_MIR0.2","T0_16","D5-D5",0.142977039870937,"EDTA_MIR0.2-Rep0_16","2nd timepoint"
"56","EDTA_MIR0.2","T04_16","D1-D1",0.154636685733759,"EDTA_MIR0.2-Rep04_16",NA
"57","EDTA_MIR0.2","T04_16","D2-D2",0.161121608629561,"EDTA_MIR0.2-Rep04_16",NA
"58","EDTA_MIR0.2","T04_16","D3-D3",0.131873964150199,"EDTA_MIR0.2-Rep04_16",NA
"59","EDTA_MIR0.2","T04_16","D4-D4",0.0947210053811357,"EDTA_MIR0.2-Rep04_16",NA
"60","EDTA_MIR0.2","T04_16","D5-D5",0.16846003447012,"EDTA_MIR0.2-Rep04_16",NA
"61","SER_CCF2","T0_04","D1-D1",0.144655692812086,"SER_CCF2-Rep0_04","1st timepoint"
"62","SER_CCF2","T0_04","D2-D2",0.0757306307819501,"SER_CCF2-Rep0_04","1st timepoint"
"63","SER_CCF2","T0_04","D3-D3",0.104123518509488,"SER_CCF2-Rep0_04","1st timepoint"
"64","SER_CCF2","T0_04","D4-D4",0.126103730531094,"SER_CCF2-Rep0_04","1st timepoint"
"65","SER_CCF2","T0_04","D5-D5",0.0848823103652503,"SER_CCF2-Rep0_04","1st timepoint"
"66","SER_CCF2","T0_16","D1-D1",0.109385280352938,"SER_CCF2-Rep0_16","2nd timepoint"
"67","SER_CCF2","T0_16","D2-D2",0.121131506537147,"SER_CCF2-Rep0_16","2nd timepoint"
"68","SER_CCF2","T0_16","D3-D3",0.0629760336505087,"SER_CCF2-Rep0_16","2nd timepoint"
"69","SER_CCF2","T0_16","D4-D4",0.126503692594581,"SER_CCF2-Rep0_16","2nd timepoint"
"70","SER_CCF2","T0_16","D5-D5",0.0996483875516483,"SER_CCF2-Rep0_16","2nd timepoint"
"71","SER_CCF2","T04_16","D1-D1",0.148540790987087,"SER_CCF2-Rep04_16",NA
"72","SER_CCF2","T04_16","D2-D2",0.124689150904021,"SER_CCF2-Rep04_16",NA
"73","SER_CCF2","T04_16","D3-D3",0.100965405951077,"SER_CCF2-Rep04_16",NA
"74","SER_CCF2","T04_16","D4-D4",0.0844710610590939,"SER_CCF2-Rep04_16",NA
"75","SER_CCF2","T04_16","D5-D5",0.102428024211877,"SER_CCF2-Rep04_16",NA
"76","SER_MIR0.2","T0_04","D1-D1",0.144628319667572,"SER_MIR0.2-Rep0_04","1st timepoint"
"77","SER_MIR0.2","T0_04","D2-D2",0.11709100866833,"SER_MIR0.2-Rep0_04","1st timepoint"
"78","SER_MIR0.2","T0_04","D3-D3",0.11876275313828,"SER_MIR0.2-Rep0_04","1st timepoint"
"79","SER_MIR0.2","T0_04","D4-D4",0.143828572827083,"SER_MIR0.2-Rep0_04","1st timepoint"
"80","SER_MIR0.2","T0_04","D5-D5",0.150774943420046,"SER_MIR0.2-Rep0_04","1st timepoint"
"81","SER_MIR0.2","T0_16","D1-D1",0.138826751088087,"SER_MIR0.2-Rep0_16","2nd timepoint"
"82","SER_MIR0.2","T0_16","D2-D2",0.168834309221757,"SER_MIR0.2-Rep0_16","2nd timepoint"
"83","SER_MIR0.2","T0_16","D3-D3",0.152672944521736,"SER_MIR0.2-Rep0_16","2nd timepoint"
"84","SER_MIR0.2","T0_16","D4-D4",0.14007642454206,"SER_MIR0.2-Rep0_16","2nd timepoint"
"85","SER_MIR0.2","T0_16","D5-D5",0.159123767365983,"SER_MIR0.2-Rep0_16","2nd timepoint"
"86","SER_MIR0.2","T04_16","D1-D1",0.137460991458131,"SER_MIR0.2-Rep04_16",NA
"87","SER_MIR0.2","T04_16","D2-D2",0.183282334113486,"SER_MIR0.2-Rep04_16",NA
"88","SER_MIR0.2","T04_16","D3-D3",0.133130431627483,"SER_MIR0.2-Rep04_16",NA
"89","SER_MIR0.2","T04_16","D4-D4",0.108305107766542,"SER_MIR0.2-Rep04_16",NA
"90","SER_MIR0.2","T04_16","D5-D5",0.131593601004466,"SER_MIR0.2-Rep04_16",NA
